iter	Passed	Remaining
0	137	137349
1	138	68949
2	138	46128
3	139	34719
4	140	27870
5	140	23308
6	141	20045
7	141	17601
8	142	15700
9	143	14182
10	143	12939
11	144	11900
12	145	11022
13	145	10269
14	146	9614
15	147	9043
16	147	8538
17	148	8091
18	148	7689
19	149	7328
20	150	7002
21	150	6707
22	151	6435
23	152	6186
24	152	5955
25	153	5740
26	153	5540
27	154	5355
28	154	5182
29	155	5020
30	155	4869
31	156	4728
32	156	4595
33	157	4469
34	157	4352
35	158	4240
36	158	4135
37	159	4035
38	159	3940
39	160	3849
40	160	3763
41	161	3685
42	162	3607
43	162	3532
44	163	3462
45	163	3394
46	164	3328
47	164	3266
48	165	3207
49	165	3149
50	166	3094
51	166	3041
52	167	2989
53	167	2939
54	168	2892
55	168	2846
56	169	2802
57	169	2760
58	170	2718
59	170	2678
60	171	2639
61	172	2602
62	172	2566
63	173	2531
64	173	2498
65	174	2464
66	174	2432
67	174	2397
68	175	2367
69	176	2338
70	176	2309
71	177	2281
72	177	2254
73	178	2228
74	178	2202
75	179	2179
76	179	2156
77	180	2133
78	181	2111
79	181	2088
80	182	2066
81	182	2044
82	183	2024
83	183	2003
84	184	1982
85	184	1963
86	185	1941
87	185	1923
88	186	1906
89	186	1888
90	187	1871
91	187	1854
92	188	1839
93	189	1822
94	189	1806
95	190	1790
96	190	1774
97	191	1759
98	191	1744
99	192	1729
100	192	1714
101	192	1698
102	193	1684
103	193	1670
104	194	1657
105	194	1643
106	195	1630
107	195	1617
108	196	1604
109	196	1592
110	197	1579
111	197	1568
112	198	1556
113	198	1544
114	199	1533
115	199	1521
116	200	1510
117	200	1499
118	200	1487
119	201	1477
120	201	1466
121	202	1456
122	202	1445
123	203	1434
124	203	1424
125	204	1415
126	204	1405
127	204	1395
128	205	1386
129	205	1377
130	206	1368
131	206	1359
132	207	1352
133	207	1344
134	208	1335
135	208	1327
136	209	1319
137	209	1311
138	210	1303
139	210	1295
140	211	1287
141	211	1279
142	212	1272
143	212	1264
144	213	1257
145	213	1249
146	214	1242
147	214	1235
148	215	1228
149	215	1221
150	216	1215
151	216	1208
152	217	1201
153	217	1194
154	217	1188
155	218	1181
156	218	1175
157	219	1168
158	219	1162
159	220	1156
160	220	1150
161	221	1144
162	221	1139
